column, desc, unit\PPO:L-TK004_RS_12HR_SQL, TK004 Reactive Sulphur 12hrly, %
PPO:L-ACFD_RS_2HR_SQL, AC Feed Reactive Sulphur 2hrly, %
PPO:AC001:HV331B_SV, AC#1 Slurry Fd Vlv 1b Open/Close Differential Pres, psi
PPO:L-TK006_S2_Grab, TK006 Sulphur Assay, %
PPO:L-ACFD_S2_12HR, AC Feed S2 12hrly, %
PPO:AC001:HV331B_ZI, AC#1 Slurry Fd Vlv 1b Open/Close Position FdBk, %
PPO:PU046-STAT, AC Quench H2O Pmp4,  
PPO:PU032-SPD, PREOX Pmp3 Speed, %
PPO:L-ACFD_S2_12HR_SQL, AC Feed S2 12hrly, %
PPO:AC001:HV331B1, AC#1 SLURRY FEED Vlv 1b,  
PPO:Kenneth_as_admin, AC Quench Flow, m3/h
PPO:PU032-STAT, PREOX Pmp3,  
PPO:L-ACFD_S2_2HR, AC Feed S2 2hrly, %
PPO:PU043-AMPS, AC Quench Pmp1 Amps, Amps
PPO:PU032-AMPS, PREOX Pmp3 Amps, Amps
PPO:L-ACFD_S2_2HR_SQL, AC Feed S2 2hrly, %
PPO:AC001:HV409A, AC#1 SLURRY FEEDVlv 2a,  
PPO:AG006-STAT, PREOX Tk6 Agit., 
PPO:L-ACFD_SOLIDS_12HR, AC Feed %Sol 12hrly, %Sol
PPO:AC001:HV409A_PV, AC#1 Slurry Fd Vlv 2a Open/Close Position InDi, %
PPO:PU043-STAT, AC Quench H2O Pmp1,  
PPO:AG006-AMPS, PREOX Tk6 Agit. Amps, Amps
PPO:L-ACFD_SOLIDS_12HR_SQL, AC Feed %Sol 12hrly, %Sol
PPO:AC001:HV409A_SV, AC#1 Slurry Fd Vlv 2a Open/Close Differential Pres, psi
PPO:PU044-AMPS, AC Quench Pmp2 Amps, Amps
PPO:TK006:LI044, PREOX TK06 Level, %
PPO:PU035:DI045, AC Feed Density, kg/m3
PPO:AC001:HV409A_ZI, AC#1 Slurry Fd Vlv 2a Open/Close Position FdBk, %
PPO:AC001:Ss_CRO_Entered, AC001 CRO Entered Ss %, %
PPO:AC001:HV409B, AC#1 PU033 Slurry Fd Valve,  
PPO:PU044-STAT, AC Quench H2O Pmp2,  
PPO:L-TK1004_RS_12HR_SQL, TK1004 Reactive Sulphur 12hrly, %
PPO:AC002:Ss_CRO_Entered, AC002 CRO Entered Ss %, %
PPO:AC001:HV409B_PV, AC#1 Slurry Fd Vlv 2b Open/Close Position InDi, %
PPO:PU045-AMPS, AC Quench Pmp3 Amps, Amps
PPO:L-TK1004_RS_3HR, TK1004 Reactive Sulphur 3hrly, %
PPO:AC003:Ss_CRO_Entered, AC003 CRO Entered Ss %, %
PPO:AC001:HV409B_SV, AC#1 Slurry Fd Vlv 2b Open/Close Differential Pres, psi
PPO:L-TK1004_RS_3HR_SQL, TK1004 Reactive Sulphur 3hrly, %
PPO:AC004:Ss_CRO_Entered, AC004 CRO Entered Ss %, %
PPO:AC001:HV409B_ZI, AC#1 Slurry Fd Vlv 2b Open/Close Position FdBk, %
PPO:PU045-STAT, AC Quench H2O Pmp3,  
PPO:XPU_1030:XPU 1030_MC-AMPS, TK1004 Pre-Ox Pump, Amps
PPO:AC001:HV409B1, AC#1 SLURRY FEEDVlv 2b,  
PPO:PU046-AMPS, AC Quench Pmp4 Amps, Amps
PPO:XPU_1030:XPU1030_MC-AMPS, TK1004 Pre-Ox Pump, Amps
PPO:PV001:HV122A, AC#1 Big Red Disch Valve,  
PPO:XPU_1031:XPU 1031_MC-AMPS, TK1004 Pre-Ox Pump, Amps
PPO:XPU_1031:XPU1031_MC-AMPS, TK1004 Pre-Ox Pump, Amps
PPO:PU1030_FRQ, Pre-Ox TK1004 Pump1 Actual Speed, %
PPO:TK2012:HV7359, QUENCH WATER TANK TK2012,  
PPO:PU1031_FRQ, Pre-Ox TK1004 Pump2 Actual Speed, %
PPO:PU742-AMPS, HX Bstr_Pmp2 Amps, Amps
PPO:TK2012:LIC7358A-MODE, TK2012 LEVEL CONTROLLER MODE,  
PPO:PU741-AMPS, HX Bstr_Pmp1 Current, Amps
PPO:TK2012:LIC7358A-OP, TK2012 LEVEL CONTROLLER OUTPUT, %
PPO:L-TK2004_RS_12HR_SQL, TK2004 Reactive Sulphur 12hrly, %
PPO:PU741:DI880, HX Feed Density, kg/m3
PPO:AG011:IIC401-MODE, AC#1 Comp1a Agit. Amps,  
PPO:TK2012:LIC7358A-PV, TK2012 LEVEL CONTROLLER INPUT, %
PPO:L-TK2004_RS_3HR, TK2004 Reactive Sulphur 3hrly, %
PPO:PU741:DI880 - Unbridged, HX Feed Density, kg/m3
PPO:AG011:IIC401-OP, AC#1 Comp1a Agit. Amps, %
PPO:TK2012:LIC7358A-SP, TK2012 LEVEL CONTROLLER SETPOINT, %
PPO:L-TK2004_RS_3HR_SQL, TK2004 Reactive Sulphur 3hrly, %
PPO:PU801:TI880A, HX AC Feed_Line2 Temp., DegC
PPO:AG011:IIC401-PV, AC#1 Comp1a Agit. Amps, Amps
PPO:TK2012:LSL7358B, TK2012 QUENCH WATER TANK LEVEL,  
PPO:L-TK2004_S2_Grab, TK2004 Sulphur Assay, %
PPO:HX022:LI850, HX Vsl2 Level, %
PPO:AG011:IIC401-SP, AC#1 Comp1a Agit. Amps, Amps
PPO:TK2012:PDC7378-MODE, SPILLBACK PRESSURE CONTROLLER MODE,  
PPO:AG2004-AMPS, PREOX TANK TK2004 AGITATOR AMPS, Amps
PPO:HX023:LI860, HX Vsl3 Level, %
PPO:AG011:JI401_CALC-PWR, AG011 Calculated Power, kW
PPO:TK2012:PDC7378-OP, SPILLBACK PRESSURE CONTROLLER OUTPUT, %
PPO:PU2030:PU2030-STAT, TK2004 Pre-Ox Pump,  
PPO:AG011:JI401-PWR, AG011 Power - AC#1 Comp1A, kW
PPO:TK2012:PDC7378-PV, SPILLBACK PRESSURE CONTROLLER INPUT, %
PPO:TK2004:LI7004, TK2004 Pre-Ox Tank Level, %
PPO:PU742:FIC880-MODE, HX Bstr_Pmp Line Temp.,  
PPO:AG011:JIC401-OP, AG011 Power Controller Output, %
PPO:TK2012:PDC7378-SP, SPILLBACK PRESSURE CONTROLLER SETPOINT, %
PPO:PU742:FIC880-OP, HX Bstr_Pmp Line Temp., DegC
PPO:AG011:JIC401-PV, AG011 Power Controller Process Variable, kW
PPO:TK2012:PIT7379, QUENCH WATER BOOSTER PUMPS, kPag
PPO:L-TK2005_RS_12HR_SQL, TK2005 Reactive Sulphur 12hrly, %
PPO:PU742:FIC880-PV, HX Bstr_Pmp Line Temp., m3/h
PPO:AG011:JIC401-SP, AG011 Power Controller Setpoint, kW
PPO:TK2012-FI6502, QNCH WAT TK INLT WAT FL, m3/h
PPO:L-TK2005_RS_3HR, TK2005 Reactive Sulphur 3hrly, %
PPO:PU742:FIC880-SP, HX Bstr_Pmp Line Temp., m3/h
PPO:AG011:SI401-RPM, AG011 Impeller Speed RPM , rpm
PPO:TK2012-LI7358A, TK2012 LEVEL, %
PPO:L-TK2005_RS_3HR_SQL, TK2005 Reactive Sulphur 3hrly, %
PPO:PU742:PIC880-MODE, HX Bstr_Pmp Line Press.,  
PPO:AG011-SPD, AC#1 Comp1a Agit. Speed, %
PPO:L-TK2005_S2_Grab, TK2005 Sulphur Assay, %
PPO:PU742:PIC880-OP, HX Bstr_Pmp Line Press., %
PPO:AG011-STAT, AC#1 Comp1a Agit.,  
PPO:Model_PreOx_Ss%, PreOx Ss % Prediction, %
PPO:PU742:PIC880-PV, HX Bstr_Pmp Line Press., kPag
PPO:AG012:IIC402-MODE, AC#1 Comp1b Agit. Amps,  
PPO:AG2005-AMPS, PREOX TANK TK2005 AGITATOR AMPS, Amps
PPO:PU742:PIC880-SP, HX Bstr_Pmp Line Press., kPag
PPO:AG012:IIC402-OP, AC#1 Comp1b Agit. Amps, %
PPO:PU2031:PU2031-STAT, TK2005 Pre-Ox Pump,  
PPO:PU742:TIC880-MODE, HX Bstr_Pmp Line Temp.,  
PPO:AG012:IIC402-PV, AC#1 Comp1b Agit. Amps, Amps
PPO:TK2005:LI7005, TK2005 Pre-Ox Tank Level, %
PPO:PU742:TIC880-OP, HX Bstr_Pmp Line Temp., %
PPO:AG012:IIC402-SP, AC#1 Comp1b Agit. Amps, Amps
PPO:PU742:TIC880-PV, HX Bstr_Pmp Line Temp., DegC
PPO:AG012:JI402_CALC-PWR, AG012 Calculated Power, kW
PPO:PU742:TIC880-SP, HX Bstr_Pmp Line Temp., DegC
PPO:AG012:JI402-PWR, AG012 Power - AC#1 Comp1B, kW
PPO:PU801:PI880A, HX Bstr_Pmp Line2 Press., kPag
PPO:AG012:SI402-RPM, AG012 Impeller Speed RPM , rpm
PPO:PU741-SPD, HX Bstr_Pmp1 Speed, %
PPO:AG012-SPD, AC#1 Comp1b Agit. Speed, %
PPO:PU742-SPD, HX Bstr_Pmp2 Speed, %
PPO:AG012-STAT, AC#1 Comp1b Agit.,  
PPO:PU741-STAT, HX Bstr_Pmp1, 
PPO:AG013:IIC403-MODE, AC#1 Comp1c Agit. Amps,  
PPO:PU742-STAT, HX Bstr_Pmp2, 
PPO:AG013:IIC403-OP, AC#1 Comp1c Agit. Amps, %
PPO:AG013:IIC403-PV, AC#1 Comp1c Agit. Amps, Amps
PPO:AG013:IIC403-SP, AC#1 Comp1c Agit. Amps, Amps
PPO:AG013:JI403_CALC-PWR, AG013 Calculated Power, kW
PPO:AG013:JI403-PWR, AG013 Power - AC#1 Comp1C, kW
PPO:AG013:SI403-RPM, AG013 Impeller Speed RPM , rpm
PPO:HX021:HV841, HX Vsl1 Main Fd Valve,  
PPO:AG013-SPD, AC#1 Comp1c Agit. Speed, %
PPO:AG013-STAT, AC#1 Comp1c Agit.,  
PPO:AG014:IIC404-MODE, AC#1 Comp2 Agit. Amps,  
PPO:HX021:LI840, HX Vsl1 Level, %
PPO:AG014:IIC404-OP, AC#1 Comp2 Agit. Amps, %
PPO:HX021:LIC837-MODE, HX Master Level,  
PPO:AG014:IIC404-PV, AC#1 Comp2 Agit. Amps, Amps
PPO:HX021:LIC837-OP, HX Master Level, %
PPO:AG014:IIC404-SP, AC#1 Comp2 Agit. Amps, Amps
PPO:HX021:LIC837-PV, HX Master Level, %
PPO:AG014:JI404_CALC-PWR, AG014 Calculated Power, kW
PPO:HX021:LIC837-SP, HX Master Level, %
PPO:AG014:JI404-PWR, AG014 Power - AC#1 Comp2, kW
PPO:HX021:TI842, HX Vsl1 Slurry Temp., DegC
PPO:AG014:SI404-RPM, AG014 Impeller Speed RPM , rpm
PPO:HX021:TIC842-MODE, HX Vsl1 Slurry Temp.,  
PPO:AG014-SPD, AC#1 Comp2 Agit. Speed, %
PPO:HX021:HV846, HX Vsl1 Top Fd Valve,  
PPO:AG014-STAT, AC#1 Comp2 Agit.,  
PPO:HX021:HX836B-MODE, Pinch Valve Mode,  
PPO:AG015:IIC405-MODE, AC#1 Comp3 Agit. Amps,  
PPO:HX021:HX836B-OP, Pinch Valve Output, %
PPO:AG015:IIC405-OP, AC#1 Comp3 Agit. Amps, %
PPO:AG015:IIC405-PV, AC#1 Comp3 Agit. Amps, Amps
PPO:AG015:IIC405-SP, AC#1 Comp3 Agit. Amps, Amps
PPO:AG015:JI405_CALC-PWR, AG015 Calculated Power, kW
PPO:HX022:TI852, HX Vsl2 Slurry Temp., DegC
PPO:AG015:JI405-PWR, AG015 Power - AC#1 Comp3, kW
PPO:HX022:TIC852-MODE, HX Vsl2 Slurry Temp.,  
PPO:AG015:SI405-RPM, AG015 Impeller Speed RPM , rpm
PPO:HX022:HV856, HX Vsl2 Top Fd Valve,  
PPO:AG015-SPD, AC#1 Comp3 Agit. Speed, %
PPO:HX022:HV851, HX Vsl2 Main Fd Valve,  
PPO:AG015-STAT, AC#1 Comp3 Agit.,  
PPO:AG016-AMPS, AC#1 Comp4 Agit. Amps, Amps
PPO:AG016-STAT, AC#1 Comp4 Agit.,  
PPO:AG017-AMPS, AC#1 Comp5 Agit. Amps, Amps
PPO:AG017-STAT, AC#1 Comp5 Agit.,  
PPO:HX023:TI862, HX Vsl3 Slurry Temp., DegC
PPO:AG018-AMPS, AC#1 Comp6 Agit. Amps, Amps
PPO:HX023:TIC862-MODE, HX Vsl3 Slurry Temp., 
PPO:AG018-STAT, AC#1 Comp6 Agit.,  
PPO:HX023:HV866, HX Vsl3 Top Fd Valve, 
PPO:HX023:HV861, HX Vsl3 Main Fd Valve, 
PPO:HX023_AC4:ZSC870, PU741 FEED VALVE CLOSE LIMIT, 
PPO:HX023_AC4:ZSC871, PU742 FEED VALVE CLOSE LIMIT, 
PPO:HX023_AC4:ZSO870, PU741 FEED VALVE OPEN LIMIT, 
PPO:AC001:TIC401_PV, AC#1 Comp1a Temp. (soft sensor calc), DegC
PPO:HX023_AC4:ZSO871, PU742 FEED VALVE OPEN LIMIT, 
PPO:AC1:AVEG-TEMP, AC#1 Average Temperature, DegC
PPO:AG011:TIC401_ROC, AC-1 Comp. 1A Temp. ROC, 
PPO:AG011:TIC401-MODE, AC#1 Comp1a Temp.,  
PPO:AG011:TIC401-OP, AC#1 Comp1a Temp., m3/h
PPO:AG011:TIC401-PV, AC#1 Comp. 1A Temp., DegC
PPO:AG011:TIC401-ROC, AC#1 Comp. 1A Temp. ROC, 
PPO:AG011:TIC401-SP, AC#1 Comp1a Temp., DegC
PPO:AG012:TIC402_ROC, AC-1 Comp. 1B Temp. ROC, 
PPO:AG012:TIC402-MODE, AC#1 Comp1b Temp.,  
PPO:AG012:TIC402-OP, AC#1 Comp1b Temp., m3/h
PPO:AG012:TIC402-PV, AC#1 Comp. 1B Temp., DegC
PPO:AG012:TIC402-ROC, AC#1 Comp. 1B Temp. ROC, 
PPO:AG012:TIC402-SP, AC#1 Comp1b Temp., DegC
PPO:AG013:TIC403_ROC, AC-1 Comp. 1C Temp. ROC, 
PPO:AG013:TIC403-MODE, AC#1 Comp1c Temp.,  
PPO:AG013:TIC403-OP, AC#1 Comp1c Temp., m3/h
PPO:AG013:TIC403-PV, AC#1 Comp. 1C Temp., DegC
PPO:AG013:TIC403-ROC, AC#1 Comp. 1C Temp. ROC, 
PPO:AG013:TIC403-SP, AC#1 Comp1c Temp., DegC
PPO:AG014:TIC404_ROC, AC-1 Comp. 2 Temp. ROC, 
PPO:AG014:TIC404-MODE, AC#1 Comp2 Temp.,  
PPO:AG014:TIC404-OP, AC#1 Comp2 Temp., m3/h
PPO:AG014:TIC404-PV, AC#1 Comp. 2 Temp., DegC
PPO:AG014:TIC404-ROC, AC#1 Comp. 2 Temp. ROC, 
PPO:AG014:TIC404-SP, AC#1 Comp2 Temp., DegC
PPO:AG015:TIC405_ROC, AC-1 Comp. 3 Temp. ROC, 
PPO:AG015:TIC405-MODE, AC#1 Comp3 Temp.,  
PPO:AG015:TIC405-OP, AC#1 Comp3 Temp., m3/h
PPO:AG015:TIC405-PV, AC#1 Comp. 3 Temp., DegC
PPO:AG015:TIC405-ROC, AC#1 Comp. 3 Temp. ROC, 
PPO:AG015:TIC405-SP, AC#1 Comp3 Temp., DegC
PPO:AG016:TIC406_ROC, AC-1 Comp. 4 Temp. ROC, 
PPO:AG016:TIC406-MODE, AC#1 Comp4 Temp.,  
PPO:AG016:TIC406-OP, AC#1 Comp4 Temp., m3/h
PPO:AG016:TIC406-PV, AC#1 Comp. 4 Temp., DegC
PPO:AG016:TIC406-ROC, AC#1 Comp. 4 Temp. ROC, 
PPO:AG016:TIC406-SP, AC#1 Comp4 Temp., DegC
PPO:AG017:TI407-PV, AC#1 Comp5 Temp., DegC
PPO:AG017:TI407-SP, AC#1 Comp5 Temp., DegC
PPO:AG017:TIC407_ROC, AC-1 Comp. 5 Temp. ROC, 
PPO:AG017:TIC407-MODE, AC#1 Comp5 Temp.,  
PPO:AG017:TIC407-OP, AC#1 Comp5 Temp., m3/h
PPO:AG017:TIC407-PV, AC#1 Comp. 5 Temp., DegC
PPO:AG017:TIC407-ROC, AC#1 Comp. 5 Temp. ROC, 
PPO:AG017:TIC407-SP, AC#1 Comp5 Temp., DegC
PPO:AG018:TIC408_ROC, AC-1 Comp. C Temp. ROC, 
PPO:HX22_23:DIT8045, AC1/2/3 CARRY OVER DENSITY, 
PPO:AG018:TIC408-MODE, AC#1 Comp6 Temp.,  
PPO:HX22_23:FIT8045, AC1/2/3 CARRY OVER FLOW, 
PPO:AG018:TIC408-OP, AC#1 Comp6 Temp., m3/h
PPO:HX22_23:WI8045, AC1/2/3 CALC MASS FLOW RATE IN %, 
PPO:AG018:TIC408-PV, AC#1 Comp. 6 Temp., DegC
PPO:AG018:TIC408-ROC, AC#1 Comp. 6 Temp. ROC, 
PPO:AG018:TIC408-SP, AC#1 Comp6 Temp., DegC
PPO:HX021_22_23:ZIC7097-MODE, PH1 Slurry Bypass Vlv Cntrl MODE, 
PPO:HX021_22_23:ZIC7097-OP, PH1 Slurry Bypass Vlv Cntrl OUTPUT, 
PPO:HX021_22_23:ZIC7097-PV, PH1 Slurry Bypass Vlv Cntrl INPUT, 
PPO:AC001:PIC065-MODE, AC#1 Press.,  
PPO:HX021_22_23:ZIC7097-SP, PH1 Slurry Bypass Vlv Cntrl SETPOINT, 
PPO:AC001:PIC065-OP, AC#1 Press., %
PPO:HX021_22_23:ZIC844-MODE, PH2 Slurry Bypass Vlv Cntrl MODE, 
PPO:AC001:PIC065-PV, AC#1 Press., kPag
PPO:HX021_22_23:ZIC844-OP, PH2 Slurry Bypass Vlv Cntrl OUTPUT, 
PPO:AC001:PIC065-SP, AC#1 Press., kPag
PPO:HX021_22_23:ZIC844-PV, PH2 Slurry Bypass Vlv Cntrl INPUT, 
PPO:AC001:PIC065-ROC, AC#1 Press. ROC, kPa
PPO:HX021_22_23:ZIC844-SP, PH2 Slurry Bypass Vlv Cntrl SETPOINT, 
PPO:AC001:PIC065_ROC, AC#1 Pressure Rate of Change, kPa
PPO:Old1_PRESS-SPT, AC#1 Pressure SetPoint by Operator, kPag
PPO:AC001:TI557-PV, AC#1 Comp2 VapourPh Temp., DegC
PPO:HX021_22_23-ZI7097, PREHEAT CCT 1 BYPASS VLV POS, 
PPO:AC001:TI556-PV, AC#1 Comp4 VapourPh Temp., DegC
PPO:HX021_22_23-ZI844, PREHEAT CCT 2 BYPASS VLV POS, 
PPO:AC001:TI0681, AC#1 Vapour Phase RealIn Temp., DegC
PPO:HX021_22_23:ZSC836A, PREOX TRAIN 1 HEATER FEED VALVE CLOSE LIMIT, 
PPO:AC1:VPHAS-TEMP, AC#1 Vapour Phase Temperature, DegC
PPO:HX021_22_23:ZSC836B, PREOX TRAIN 1 HEATER FEED VALVE CLOSE LIMIT, 
PPO:Old1:AverageTemp, AC#1 weighted Average Temperature, DegC
PPO:HX021_22_23:ZSO836A, PREOX TRAIN 1 HEATER FEED VALVE OPEN LIMIT, 
PPO:Old1_VPHAS-TEMP, AC#1 Comp6 VapourPh Temp., DegC
PPO:HX021_22_23:ZSO836B, PREOX TRAIN 1 HEATER FEED VALVE OPEN LIMIT, 
PPO:AC001:PI065B, AC#1 Bottom Press., kPag
PPO:HX021_22_23:HV7084, HX022 L.T. HEATER VESSEL FEED - TRAIN No.2, 
PPO:AC001:FI065, AC#1 Vent Flow, m3/h
PPO:AC001:LI065-AMPS, AC#1 Calculated Lvl from Ag011 Amps, %
PPO:AC001:LI065-PROT, AC#1 Comp6 Level filtered from Amps for protection, %
PPO:AC001:LI065-RAD, AC#1 Comp6 Level from RA Source, %
PPO:AC001:LIC065-MODE, AC#1 Comp6 Level,  
PPO:AC001:LIC065-OP, AC#1 Comp6 Level, %
PPO:AC001:LIC065-PV, AC#1 Comp6 Level, %
PPO:AC001:LIC065-SP, AC#1 Comp6 Level, %
PPO:AC4_STRAINERS:ZSC7179A, AC#4 FEED POST-STRAINER BLEED CLOSE LIMIT, BLEED 
PPO:AC001:LIC065-ZI, AC#1 Comp6 Level Zi , %
PPO:AC4_STRAINRS:ZSC7179B, AC#4 FEED POST-STRAINER BLEED CLOSE LIMIT, BLEED 
PPO:PV001:HIC121-FF, AC#1 Level Valve Cntrl via Choke H2O-Feedforward, m3/h
PPO:AC4_STRAINRS:ZSO7179A, AC#4 FEED POST-STRAINER BLEED OPEN LIMIT, BLEED 
PPO:PV001:HIC121-MODE, AC#1 Level Valve Cntrl via Choke H2O-Mode,  
PPO:AC4_STRAINRS:ZSO7179B, AC#4 FEED POST-STRAINER BLEED OPEN LIMIT, BLEED 
PPO:PV001:HIC121-OP, AC#1 Level Valve Cntrl via Choke H2O-Output, m3/h
PPO:AC4_STRNRS:ZSC7179A, AC#4 FEED POST-STRAINER BLEED CLOSE LIMIT, BLEED 
PPO:PV001:HIC121-PV, AC#1 Level Valve Cntrl via Choke H2O-Meas, %
PPO:AC4_STRAINRS-PI7171, AC#4 Feed1 Pre Strainer Press, Strainer 
PPO:PV001:HIC121-SP, AC#1 Level Valve Cntrl via Choke H2O-Setpoint, %
PPO:AC4_STRAINRS-PI7177, AC#4 Feed2 Pre Strainer Press, Strainer 
PPO:AC4_STRAINRS:ZSC7175A, AC#4 FEED PRE-STRAINER BLEED CLOSE LIMIT, BLEED 
PPO:PV001:ZI121, AC#1 Letdown Valve, %
PPO:AC4_STRAINRS:ZSC7175B, AC#4 FEED PRE-STRAINER BLEED CLOSE LIMIT, BLEED 
PPO:PV001:PI121, AC#1 Choke Press., kPag
PPO:AC4_STRAINRS:ZSO7175A, AC#4 FEED PRE-STRAINER BLEED OPEN LIMIT, BLEED 
PPO:AC4_STRAINRS:ZSO7175B, AC#4 FEED PRE-STRAINER BLEED OPEN LIMIT, BLEED 
PPO:PV001:FIC121-MODE, AC#1 Quench Choke Flow Mode,  
PPO:AC4_STRAINERS:ZS07176D, AC#4 FEED STRAINER No.1 OPEN LIMIT, No.1 
PPO:PV001:FIC121-OP, AC#1 Quench Choke Flow Output, %
PPO:AC4_STRAINRS:PDI7186, AC#4 Feed Strainer 1 Diff Press, 
PPO:PV001:FIC121-PV, AC#1 Quench Choke Flow Meas, m3/h
PPO:AC4_STRAINRS:PDI7187, AC#4 Feed Strainer 2 Diff Press, 
PPO:PV001:FIC121-SP, AC#1 Quench Choke Flow Setpoint, m3/h
PPO:AC4_STRAINRS:ZSC7176A, AC#4 FEED STRAINER No.1 CLOSE LIMIT, 
PPO:AC001:PI069, AC#1 Quench Flow Press., kPag
PPO:AC4_STRAINRS:ZSC7176B, AC#4 FEED STRAINER No.1 CLOSE LIMIT, 
PPO:AC4_STRAINRS:ZSC7176C, AC#4 FEED STRAINER No.1 CLOSE LIMIT, 
PPO:AC4_STRAINRS:ZSC7176D, AC#4 FEED STRAINER No.1 CLOSE LIMIT, 
PPO:AC4_STRAINRS:ZSC7178A, AC#4 FEED STRAINER No.2 CLOSE LIMIT, 
PPO:AC001:PI069, AC#1 Quench Flow Press., kPag
PPO:AC4_STRAINRS:ZSC7178B, AC#4 FEED STRAINER No.2 CLOSE LIMIT, 
PPO:AC001-FI069, AC#1 Total Quench Water Flow, m3/h
PPO:AC4_STRAINRS:ZSC7178C, AC#4 FEED STRAINER No.2 CLOSE LIMIT, 
PPO:AG011:FIC401-MODE, AC#1 Comp1a Quench Flow,  
PPO:AC4_STRAINRS:ZSC7178D, AC#4 FEED STRAINER No.2 CLOSE LIMIT, 
PPO:AG011:FIC401-OP, AC#1 Comp1a Quench Flow, %
PPO:AC4_STRAINRS:ZSO7176A, AC#4 FEED STRAINER No.1 OPEN LIMIT, 
PPO:AG011:FIC401-PV, AC#1 Comp1a Quench Flow, m3/h
PPO:AC4_STRAINRS:ZSO7176B, AC#4 FEED STRAINER No.1 OPEN LIMIT, 
PPO:AG011:FIC401-SP, AC#1 Comp1a Quench Flow, m3/h
PPO:AC4_STRAINRS:ZSO7176C, AC#4 FEED STRAINER No.1 OPEN LIMIT, 
PPO:AG012:FIC402-MODE, AC#1 Comp1b Quench Flow,  
PPO:AC4_STRAINRS:ZSO7176D, AC#4 FEED STRAINER No.1 OPEN LIMIT, 
PPO:AG012:FIC402-OP, AC#1 Comp1b Quench Flow, %
PPO:AC4_STRAINRS:ZSO7178A, AC#4 FEED STRAINER No.2 OPEN LIMIT, 
PPO:AG012:FIC402-PV, AC#1 Comp1b Quench Flow, m3/h
PPO:AC4_STRAINRS:ZSO7178B, AC#4 FEED STRAINER No.2 OPEN LIMIT, 
PPO:AG012:FIC402-SP, AC#1 Comp1b Quench Flow, m3/h
PPO:AC4_STRAINRS:ZSO7178C, AC#4 FEED STRAINER No.2 OPEN LIMIT, 
PPO:AG013:FIC403-MODE, AC#1 Comp1c Quench Flow,  
PPO:AC4_STRAINRS:ZSO7178D, AC#4 FEED STRAINER No.2 OPEN LIMIT, 
PPO:AG013:FIC403-OP, AC#1 Comp1c Quench Flow, %
PPO:AG013:FIC403-PV, AC#1 Comp1c Quench Flow, m3/h
PPO:AC4_STRAINRS-PI7180A, AC#4 Feed1 Post Strainer Press, Strainer 
PPO:AG013:FIC403-SP, AC#1 Comp1c Quench Flow, m3/h
PPO:AC4_STRAINRS-PI7181A, AC#4 Feed2 Post Strainer Press, Strainer 
PPO:AG014:FIC404-MODE, AC#1 Comp2 Quench Flow,  
PPO:AG014:FIC404-OP, AC#1 Comp2 Quench Flow, %
PPO:AC4_STRAINRS:PIT7177, AC#4 FEED BOOSTER PUMP No.3 DISCHARGE, 
PPO:AG014:FIC404-PV, AC#1 Comp2 Quench Flow, m3/h
PPO:HX021_22_23:HV7087, AC#4 FEED BOOSTER PUMP No.2 DISCHARGE, 
PPO:AG014:FIC404-SP, AC#1 Comp2 Quench Flow, m3/h
PPO:HX21_22:DIT7006, AC4  CARRY OVER DENSITY, 
PPO:AG015:FIC405-MODE, AC#1 Comp3 Quench Flow,  
PPO:HX21_22:FIT7006, AC4  CARRY OVER FLOW, 
PPO:AG015:FIC405-OP, AC#1 Comp3 Quench Flow, %
PPO:HX21_22:WC7006, AC4 CALC MASS FLOW RATE, 
PPO:AG015:FIC405-PV, AC#1 Comp3 Quench Flow, m3/h
PPO:HX21_22:WI7006, AC4  CALC MASS FLOW RATE IN %, 
PPO:AG015:FIC405-SP, AC#1 Comp3 Quench Flow, m3/h
PPO:HX22_23:WC8045, AC4 CALC MASS FLOW RATE, 
PPO:AG016:FIC406-MODE, AC#1 Comp4 Quench Flow,  
PPO:AG016:FIC406-OP, AC#1 Comp4 Quench Flow, %
PPO:AG016:FIC406-PV, AC#1 Comp4 Quench Flow, m3/h
PPO:PU2741:TIC7182-MODE, HX Bstr_Pmp Line Temp to AC#4, 
PPO:AG016:FIC406-SP, AC#1 Comp4 Quench Flow, m3/h
PPO:PU2741:TIC7182-OP, HX Bstr_Pmp Line Temp to AC#4, 
PPO:AG017:FIC407-MODE, AC#1 Comp5 Quench Flow,  
PPO:PU2741:TIC7182-PV, HX Bstr_Pmp Line Temp to AC#4, 
PPO:AG017:FIC407-OP, AC#1 Comp5 Quench Flow, %
PPO:PU2741:TIC7182-SP, HX Bstr_Pmp Line Temp to AC#4, 
PPO:AG017:FIC407-PV, AC#1 Comp5 Quench Flow, m3/h
PPO:AG017:FIC407-SP, AC#1 Comp5 Quench Flow, m3/h
PPO:AG018:FIC408-MODE, AC#1 Comp6 Quench Flow,  
PPO:AG018:FIC408-OP, AC#1 Comp6 Quench Flow, %
PPO:AG018:FIC408-PV, AC#1 Comp6 Quench Flow, m3/h
PPO:AG018:FIC408-SP, AC#1 Comp6 Quench Flow, m3/h
PPO:AG011:WIC411-MODE, AC#1 Comp1a Oxygen Flow,  
PPO:AG011:WIC411-MODE, AC#1 Comp1a Oxygen Flow,  
PPO:AG011:WIC411-OP, AC#1 Comp1a Oxygen Flow, %
PPO:AG011:WIC411-OP, AC#1 Comp1a Oxygen Flow, %
